"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"sot323-6";2;"BCM857BS";;;
2;"VR1,VR2,VR3,VR4,VR6";"RV16A-41-JRL";5;"50K";;;
3;"SW1";"KS-01Q-02-JRL";1;"KS-01Q";;;
4;"TP1,TP2";"TEST POINT";2;"TEST_POINT";;;
5;"U9";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"CD4052";;;
6;"U10";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"CD4027";;;
7;"U11";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"CD40106";;;
8;"U5,U6,U7";"SO16-JRL";3;"LM13700";;;
9;"U8";"SO16-JRL";1;"DG409";;;
10;"R19";"SM0805-HAND";1;"10K NTC";;;
11;"R67,R66";"SM0805-HAND";2;"10";;;
12;"D8,D9";"SMB-1C2A";2;"S1BB";;;
13;"D4,D3,D2,D1";"3MM-LED-C1A2";4;"LED";;;
14;"C10,C23,C24";"c_elec_5x5.3";3;"10μF";;;
15;"U1,U2,U3,U4";"TSSOP8-JRL";4;"TL072-";;;
16;"U12,U13";"SOT-23-5";2;"TS321";;;
17;"VR5,VR7";"TC33X-2";2;"100K";;;
18;"J1,J2,J3,J4,J5,J6";"PJ-301B-JACK-SLOTS";6;"PJ301B";;;
19;"R1,R49,R70,R71,R72";"SM0603-R-JRL";5;"10K";;;
20;"R2,R3,R4,R7,R8,R24,R26,R44,R45,R47,R48,R51,R61,R73,R74,R75,R76,R77,R78";"SM0603-R-JRL";19;"100K";;;
21;"R5,R6";"SM0603-R-JRL";2;"200K";;;
22;"R9";"SM0603-R-JRL";1;"110K";;;
23;"R10";"SM0603-R-JRL";1;"680K";;;
24;"R11";"SM0603-R-JRL";1;"1M";;;
25;"R12,R54";"SM0603-R-JRL";2;"1K";;;
26;"R13,R14,R18,R50";"SM0603-R-JRL";4;"47K";;;
27;"R15";"SM0603-R-JRL";1;"150K";;;
28;"R16";"SM0603-R-JRL";1;"4.7K";;;
29;"R17";"SM0603-R-JRL";1;"5.6K";;;
30;"R20,R27";"SM0603-R-JRL";2;"1.5K";;;
31;"R21,R28";"SM0603-R-JRL";2;"1.5M";;;
32;"R22";"SM0603-R-JRL";1;"8.2K";;;
33;"R23";"SM0603-R-JRL";1;"1.8K";;;
34;"R25";"SM0603-R-JRL";1;"820";;;
35;"R29,R35,R37,R52,R60,R63";"SM0603-R-JRL";6;"68K";;;
36;"R30,R36,R38,R53,R62,R65";"SM0603-R-JRL";6;"560";;;
37;"R31,R32,R39,R55,R56,R68";"SM0603-R-JRL";6;"18K";;;
38;"R33,R34,R40,R46,R57,R58,R69";"SM0603-R-JRL";7;"33K";;;
39;"R41";"SM0603-R-JRL";1;"3.3K";;;
40;"R42,R43";"SM0603-R-JRL";2;"56K";;;
41;"R59,R64";"SM0603-R-JRL";2;"330";;;
42;"C27,C20,C19,C17,C16,C15,C14,C13,C12,C26";"SM0603-C-JRL";10;"100n";;;
43;"C22,C21";"SM0603-C-JRL";2;"0.47μ";;;
44;"C11,C1,C28,C29";"SM0603-C-JRL";4;"22pF";;;
45;"C9,C4";"SM0603-C-JRL";2;"33pF";;;
46;"C8,C3";"SM0603-C-JRL";2;"4.7pF";;;
47;"C5,C2";"SM0603-C-JRL";2;"47pF";;;
48;"P1";"Pin_Header_Straight_2x05";1;"CONN_02X05";;;
49;"C6,C7,C18,C25";"CAP-BOX-PFR-5MM";4;"330pF";;;
50;"Q6,Q5,Q4,Q3";"SOT23-JRL";4;"J112";;;
51;"D10,D7,D6,D5";"SOD323-C1A2";4;"1N914";;;
